,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
34,1,35,Schulman,34.0,21.0,flat,Schulman,PROPN,NNFS1-----A----,"{'Case': 'Nom', 'Gender': 'Fem', 'NameType': 'Sur', 'Number': 'Sing', 'Polarity': 'Pos'}","[['flat', 34]]",
35,1,36,v,37.0,7.0,case,v,ADP,RR--4----------,"{'AdpType': 'Prep', 'Case': 'Acc'}","[['case', 37]]",{'LId': 'v-1'}
36,1,37,pondělí,30.0,30.0,obl,pondělí,NOUN,NNNS4-----A----,"{'Case': 'Acc', 'Gender': 'Neut', 'Number': 'Sing', 'Polarity': 'Pos'}","[['obl:v:acc', 30]]",
37,1,38,ve,40.0,7.0,case,v,ADP,RV--6----------,"{'AdpType': 'Voc', 'Case': 'Loc'}","[['case', 40]]",{'LId': 'v-1'}
38,1,39,svém,40.0,16.0,det,svůj,DET,P8ZS6----------,"{'Case': 'Loc', 'Gender': 'Masc,Neut', 'Number': 'Sing', 'Poss': 'Yes', 'PronType': 'Prs', 'Reflex': 'Yes'}","[['det', 40]]","{'LId': 'svůj-1', 'LGloss': '(přivlast.)'}"
39,1,40,blogu,30.0,30.0,obl,blog,NOUN,NNIS6-----A----,"{'Animacy': 'Inan', 'Case': 'Loc', 'Gender': 'Masc', 'Number': 'Sing', 'Polarity': 'Pos'}","[['obl:v:loc', 30]]",{'SpaceAfter': 'No'}
40,1,41,.,30.0,33.0,punct,.,PUNCT,Z:-------------,,"[['punct', 30]]",
41,2,1,Pro,2.0,7.0,case,pro,ADP,RR--4----------,"{'AdpType': 'Prep', 'Case': 'Acc'}","[['case', 2]]",{'LId': 'pro-1'}
42,2,2,ty,18.0,30.0,obl,ten,DET,PDMP4----------,"{'Animacy': 'Anim', 'Case': 'Acc', 'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Dem'}","[['nsubj', 5], ['obl:pro:acc', 18]]",{'SpaceAfter': 'No'}
43,2,3,",",5.0,33.0,punct,",",PUNCT,Z:-------------,,"[['punct', 5]]",
44,2,4,kteří,5.0,27.0,nsubj,který,DET,P4MP1----------,"{'Animacy': 'Anim', 'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Int,Rel'}","[['ref', 2]]",
45,2,5,sledují,2.0,1.0,acl:relcl,sledovat,VERB,VB-P---3P-AA---,"{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Polarity': 'Pos', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['acl:relcl', 2]]",
46,2,6,předávání,5.0,29.0,obj,předávání,NOUN,NNNS4-----A----,"{'Case': 'Acc', 'Gender': 'Neut', 'Number': 'Sing', 'Polarity': 'Pos'}","[['obj', 5]]","{'LId': 'předávání-3', 'LGloss': '(někomu_něco)', 'LDeriv': 'předat-3'}"
47,2,7,účtů,6.0,26.0,nmod,účet,NOUN,NNIP2-----A----,"{'Animacy': 'Inan', 'Case': 'Gen', 'Gender': 'Masc', 'Number': 'Plur', 'Polarity': 'Pos'}","[['nmod:gen', 6]]",
48,2,8,na,10.0,7.0,case,na,ADP,RR--6----------,"{'AdpType': 'Prep', 'Case': 'Loc'}","[['case', 10]]",{'LId': 'na-1'}
49,2,9,sociálních,10.0,4.0,amod,sociální,ADJ,AAFP6----1A----,"{'Case': 'Loc', 'Degree': 'Pos', 'Gender': 'Fem', 'Number': 'Plur', 'Polarity': 'Pos'}","[['amod', 10]]",
50,2,10,sítích,6.0,26.0,nmod,síť,NOUN,NNFP6-----A----,"{'Case': 'Loc', 'Gender': 'Fem', 'Number': 'Plur', 'Polarity': 'Pos'}","[['nmod:na:loc', 6]]",
51,2,11,na,12.0,7.0,case,na,ADP,RR--4----------,"{'AdpType': 'Prep', 'Case': 'Acc'}","[['case', 12]]",{'LId': 'na-1'}
52,2,12,Capitol,10.0,26.0,nmod,Kapitol,PROPN,NNIS4-----A----,"{'Animacy': 'Inan', 'Case': 'Acc', 'Gender': 'Masc', 'NameType': 'Geo', 'Number': 'Sing', 'Polarity': 'Pos', 'Style': 'Rare'}","[['nmod:na:acc', 10]]",
53,2,13,Hill,12.0,26.0,nmod,Hill,PROPN,NNIS4-----A----,"{'Animacy': 'Inan', 'Case': 'Acc', 'Gender': 'Masc', 'NameType': 'Geo', 'Number': 'Sing', 'Polarity': 'Pos'}","[['nmod:acc', 12]]",{'SpaceAfter': 'No'}
54,2,14,",",5.0,33.0,punct,",",PUNCT,Z:-------------,,"[['punct', 5]]",
55,2,15,to,18.0,27.0,nsubj,ten,DET,PDNS1----------,"{'Case': 'Nom', 'Gender': 'Neut', 'Number': 'Sing', 'PronType': 'Dem'}","[['nsubj', 18]]",
56,2,16,bude,18.0,13.0,cop,být,AUX,VB-S---3F-AA---,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Polarity': 'Pos', 'Tense': 'Fut', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['cop', 18]]",
57,2,17,trochu,18.0,3.0,advmod,trochu,ADV,Db-------------,,"[['advmod', 18]]",
58,2,18,jiné,0.0,35.0,root,jiný,ADJ,AANS1----1A----,"{'Case': 'Nom', 'Degree': 'Pos', 'Gender': 'Neut', 'Number': 'Sing', 'Polarity': 'Pos'}","[['root', 0]]",{'SpaceAfter': 'No'}
59,2,19,.,18.0,33.0,punct,.,PUNCT,Z:-------------,,"[['punct', 18]]",
60,3,1,Kandidát,6.0,27.0,nsubj,kandidát,NOUN,NNMS1-----A----,"{'Animacy': 'Anim', 'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Polarity': 'Pos'}","[['nsubj', 6]]",
61,3,2,Republikánské,3.0,4.0,amod,republikánský,ADJ,AAFS2----1A----,"{'Case': 'Gen', 'Degree': 'Pos', 'Gender': 'Fem', 'Number': 'Sing', 'Polarity': 'Pos'}","[['amod', 3]]",
62,3,3,strany,1.0,26.0,nmod,strana,NOUN,NNFS2-----A----,"{'Case': 'Gen', 'Gender': 'Fem', 'Number': 'Sing', 'Polarity': 'Pos'}","[['nmod:gen', 1]]","{'LId': 'strana-2', 'LGloss': '(politická)'}"
63,3,4,se,6.0,29.0,obj,se,PRON,P7-X4----------,"{'Case': 'Acc', 'PronType': 'Prs', 'Reflex': 'Yes', 'Variant': 'Short'}","[['obj', 6]]",{'LGloss': '(zvr._zájmeno/částice)'}
64,3,5,však,6.0,8.0,cc,však,CCONJ,J^-------------,,"[['cc', 6]]",{'LId': 'však-1'}
65,3,6,odklonil,0.0,35.0,root,odklonit,VERB,VpYS---XR-AA---,"{'Aspect': 'Perf', 'Gender': 'Masc', 'Number': 'Sing', 'Polarity': 'Pos', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}","[['root', 0]]",
66,3,7,od,10.0,7.0,case,od,ADP,RR--2----------,"{'AdpType': 'Prep', 'Case': 'Gen'}","[['case', 10]]",{'LId': 'od-1'}
67,3,8,svých,10.0,16.0,det,svůj,DET,P8XP2----------,"{'Case': 'Gen', 'Number': 'Plur', 'Poss': 'Yes', 'PronType': 'Prs', 'Reflex': 'Yes'}","[['det', 10]]","{'LId': 'svůj-1', 'LGloss': '(přivlast.)'}"
68,3,9,předchozích,10.0,4.0,amod,předchozí,ADJ,AAIP2----1A----,"{'Animacy': 'Inan', 'Case': 'Gen', 'Degree': 'Pos', 'Gender': 'Masc', 'Number': 'Plur', 'Polarity': 'Pos'}","[['amod', 10]]",
69,3,10,výroků,6.0,30.0,obl:arg,výrok,NOUN,NNIP2-----A----,"{'Animacy': 'Inan', 'Case': 'Gen', 'Gender': 'Masc', 'Number': 'Plur', 'Polarity': 'Pos'}","[['obl:arg:od:gen', 6]]",
70,3,11,o,12.0,7.0,case,o,ADP,RR--6----------,"{'AdpType': 'Prep', 'Case': 'Loc'}","[['case', 12]]",{'LId': 'o-1'}
71,3,12,omezení,10.0,26.0,nmod,omezení,NOUN,NNNS6-----A----,"{'Case': 'Loc', 'Gender': 'Neut', 'Number': 'Sing', 'Polarity': 'Pos', 'VerbForm': 'Vnoun'}","[['nmod:o:loc', 10]]",{'LDeriv': 'omezit'}
72,3,13,imigrace,12.0,26.0,nmod,imigrace,NOUN,NNFS2-----A----,"{'Case': 'Gen', 'Gender': 'Fem', 'Number': 'Sing', 'Polarity': 'Pos'}","[['nmod:gen', 12]]",
73,3,14,a,15.0,8.0,cc,a,CCONJ,J^-------------,,"[['cc', 15]]",{'LId': 'a-1'}
74,3,15,řekl,6.0,12.0,conj,říci,VERB,VpYS---XR-AA---,"{'Gender': 'Masc', 'Number': 'Sing', 'Polarity': 'Pos', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}","[['root', 0], ['conj', 6]]",{'SpaceAfter': 'No'}
75,3,16,",",21.0,33.0,punct,",",PUNCT,Z:-------------,,"[['punct', 21]]",
76,3,17,že,21.0,25.0,mark,že,SCONJ,"J,-------------",,"[['mark', 21]]",{'LId': 'že-1'}
77,3,18,jako,19.0,25.0,mark,jako,SCONJ,"J,-------------",,"[['mark', 19]]",{'LId': 'jako-1'}
78,3,19,prezident,21.0,37.0,xcomp,prezident,NOUN,NNMS1-----A----,"{'Animacy': 'Anim', 'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Polarity': 'Pos'}","[['xcomp', 21]]",
79,3,20,by,21.0,6.0,aux,být,AUX,Vc-------------,"{'Mood': 'Cnd', 'VerbForm': 'Fin'}","[['aux', 21]]",
80,3,21,povolil,15.0,9.0,ccomp,povolit,VERB,VpYS---XR-AA---,"{'Aspect': 'Perf', 'Gender': 'Masc', 'Number': 'Sing', 'Polarity': 'Pos', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}","[['ccomp', 15]]",
81,3,22,„,24.0,33.0,punct,"""",PUNCT,Z:-------------,,"[['punct', 24]]",{'SpaceAfter': 'No'}
82,3,23,ohromné,24.0,4.0,amod,ohromný,ADJ,AAIP4----1A----,"{'Animacy': 'Inan', 'Case': 'Acc', 'Degree': 'Pos', 'Gender': 'Masc', 'Number': 'Plur', 'Polarity': 'Pos'}","[['amod', 24]]",
83,3,24,počty,21.0,29.0,obj,počet,NOUN,NNIP4-----A----,"{'Animacy': 'Inan', 'Case': 'Acc', 'Gender': 'Masc', 'Number': 'Plur', 'Polarity': 'Pos'}","[['obj', 21]]",{'SpaceAfter': 'No'}
84,3,25,“,24.0,33.0,punct,"""",PUNCT,Z:-------------,,"[['punct', 24]]",
85,3,26,legálních,27.0,4.0,amod,legální,ADJ,AAMP2----1A----,"{'Animacy': 'Anim', 'Case': 'Gen', 'Degree': 'Pos', 'Gender': 'Masc', 'Number': 'Plur', 'Polarity': 'Pos'}","[['amod', 27]]",
86,3,27,přistěhovalců,24.0,26.0,nmod,přistěhovalec,NOUN,NNMP2-----A----,"{'Animacy': 'Anim', 'Case': 'Gen', 'Gender': 'Masc', 'Number': 'Plur', 'Polarity': 'Pos'}","[['nmod:gen', 24]]",
87,3,28,na,31.0,7.0,case,na,ADP,RR--6----------,"{'AdpType': 'Prep', 'Case': 'Loc'}","[['case', 31]]",{'LId': 'na-1'}
88,3,29,základě,28.0,20.0,fixed,základ,NOUN,NNIS6-----A----,"{'Animacy': 'Inan', 'Case': 'Loc', 'Gender': 'Masc', 'Number': 'Sing', 'Polarity': 'Pos'}","[['fixed', 28]]",
89,3,30,„,31.0,33.0,punct,"""",PUNCT,Z:-------------,,"[['punct', 31]]",{'SpaceAfter': 'No'}
90,3,31,systému,21.0,30.0,obl,systém,NOUN,NNIS2-----A----,"{'Animacy': 'Inan', 'Case': 'Gen', 'Gender': 'Masc', 'Number': 'Sing', 'Polarity': 'Pos'}","[['obl:na_základě:gen', 21]]",
91,3,32,zásluh,31.0,26.0,nmod,zásluha,NOUN,NNFP2-----A----,"{'Case': 'Gen', 'Gender': 'Fem', 'Number': 'Plur', 'Polarity': 'Pos'}","[['nmod:gen', 31]]",{'SpaceAfter': 'No'}
92,3,33,“,31.0,33.0,punct,"""",PUNCT,Z:-------------,,"[['punct', 31]]",{'SpaceAfter': 'No'}
93,3,34,.,6.0,33.0,punct,.,PUNCT,Z:-------------,,"[['punct', 6]]",
94,4,1,„,4.0,33.0,punct,"""",PUNCT,Z:-------------,,"[['punct', 4]]",{'SpaceAfter': 'No'}
95,4,2,Takže,4.0,25.0,mark,takže,SCONJ,"J,-------------",,"[['mark', 4]]",
96,4,3,–,4.0,33.0,punct,-,PUNCT,Z:-------------,,"[['punct', 4]]",
97,4,4,nechci,18.0,9.0,ccomp,chtít,VERB,VB-S---1P-NA---,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Polarity': 'Neg', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['ccomp', 18]]",
98,4,5,na,6.0,7.0,case,na,ADP,RR--4----------,"{'AdpType': 'Prep', 'Case': 'Acc'}","[['case', 6]]",{'LId': 'na-1'}
99,4,6,vás,7.0,30.0,obl:arg,ty,PRON,PP-P4--2-------,"{'Case': 'Acc', 'Number': 'Plur', 'Person': '2', 'PronType': 'Prs'}","[['obl:arg:na:acc', 7]]",
100,4,7,tlačit,4.0,37.0,xcomp,tlačit,VERB,Vf--------A----,"{'Aspect': 'Imp', 'Polarity': 'Pos', 'VerbForm': 'Inf'}","[['xcomp', 4]]",{'SpaceAfter': 'No'}
101,4,8,",",12.0,33.0,punct,",",PUNCT,Z:-------------,,"[['punct', 12]]",
102,4,9,ale,12.0,8.0,cc,ale,CCONJ,J^-------------,,"[['cc', 12]]",
103,4,10,osud,12.0,27.0,nsubj,osud,NOUN,NNIS1-----A----,"{'Animacy': 'Inan', 'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Polarity': 'Pos'}","[['nsubj', 12]]",
104,4,11,republiky,10.0,26.0,nmod,republika,NOUN,NNFS2-----A----,"{'Case': 'Gen', 'Gender': 'Fem', 'Number': 'Sing', 'Polarity': 'Pos'}","[['nmod:gen', 10]]",
105,4,12,leží,4.0,12.0,conj,ležet,VERB,VB-S---3P-AA---,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Polarity': 'Pos', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['conj', 4], ['ccomp', 18]]",
106,4,13,na,15.0,7.0,case,na,ADP,RR--6----------,"{'AdpType': 'Prep', 'Case': 'Loc'}","[['case', 15]]",{'LId': 'na-1'}
107,4,14,vašich,15.0,16.0,det,tvůj,DET,PSXP6-P2-------,"{'Case': 'Loc', 'Number': 'Plur', 'Number[psor]': 'Plur', 'Person': '2', 'Poss': 'Yes', 'PronType': 'Prs'}","[['det', 15]]",{'LGloss': '(přivlast.)'}
108,4,15,bedrech,12.0,30.0,obl,bedra,NOUN,NNNP6-----A----,"{'Case': 'Loc', 'Gender': 'Neut', 'Number': 'Plur', 'Polarity': 'Pos'}","[['obl:na:loc', 12]]",{'SpaceAfter': 'No'}
109,4,16,",",4.0,33.0,punct,",",PUNCT,Z:-------------,,"[['punct', 4]]",{'SpaceAfter': 'No'}
110,4,17,“,4.0,33.0,punct,"""",PUNCT,Z:-------------,,"[['punct', 4]]",
111,4,18,řekl,0.0,35.0,root,říci,VERB,VpYS---XR-AA---,"{'Gender': 'Masc', 'Number': 'Sing', 'Polarity': 'Pos', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}","[['root', 0]]",
112,4,19,davu,18.0,30.0,obl:arg,dav,NOUN,NNIS3-----A----,"{'Animacy': 'Inan', 'Case': 'Dat', 'Gender': 'Masc', 'Number': 'Sing', 'Polarity': 'Pos'}","[['obl:arg:dat', 18]]",
113,4,20,shromážděnému,19.0,4.0,amod,shromážděný,ADJ,AAIS3----1A----,"{'Animacy': 'Inan', 'Case': 'Dat', 'Degree': 'Pos', 'Gender': 'Masc', 'Number': 'Sing', 'Polarity': 'Pos', 'VerbForm': 'Part', 'Voice': 'Pass'}","[['amod', 19]]",{'LDeriv': 'shromáždit'}
114,4,21,na,23.0,7.0,case,na,ADP,RR--6----------,"{'AdpType': 'Prep', 'Case': 'Loc'}","[['case', 23]]",{'LId': 'na-1'}
115,4,22,sportovním,23.0,4.0,amod,sportovní,ADJ,AANS6----1A----,"{'Case': 'Loc', 'Degree': 'Pos', 'Gender': 'Neut', 'Number': 'Sing', 'Polarity': 'Pos'}","[['amod', 23]]",
116,4,23,hřišti,20.0,26.0,nmod,hřiště,NOUN,NNNS6-----A----,"{'Case': 'Loc', 'Gender': 'Neut', 'Number': 'Sing', 'Polarity': 'Pos'}","[['nmod:na:loc', 20]]",
117,4,24,Univerzity,23.0,26.0,nmod,univerzita,NOUN,NNFS2-----A----,"{'Case': 'Gen', 'Gender': 'Fem', 'Number': 'Sing', 'Polarity': 'Pos'}","[['nmod:gen', 23]]",
118,4,25,Severní,26.0,4.0,amod,Severní,ADJ,AAFS2----1A----,"{'Case': 'Gen', 'Degree': 'Pos', 'Gender': 'Fem', 'NameType': 'Geo', 'Number': 'Sing', 'Polarity': 'Pos'}","[['amod', 26]]",
119,4,26,Karolíny,24.0,26.0,nmod,Karolína,PROPN,NNFS2-----A----,"{'Case': 'Gen', 'Gender': 'Fem', 'NameType': 'Geo', 'Number': 'Sing', 'Polarity': 'Pos'}","[['nmod:gen', 24]]",{'SpaceAfter': 'No'}
120,4,27,.,18.0,33.0,punct,.,PUNCT,Z:-------------,,"[['punct', 18]]",
121,5,1,Nové,2.0,4.0,amod,nový,ADJ,AAIP1----1A----,"{'Animacy': 'Inan', 'Case': 'Nom', 'Degree': 'Pos', 'Gender': 'Masc', 'Number': 'Plur', 'Polarity': 'Pos'}","[['amod', 2]]",
122,5,2,výdaje,3.0,27.0,nsubj,výdaj,NOUN,NNIP1-----A----,"{'Animacy': 'Inan', 'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Plur', 'Polarity': 'Pos'}","[['nsubj', 3]]",
123,5,3,pocházejí,0.0,35.0,root,pocházet,VERB,VB-P---3P-AA---,"{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Polarity': 'Pos', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['root', 0]]",
124,5,4,z,7.0,7.0,case,z,ADP,RR--2----------,"{'AdpType': 'Prep', 'Case': 'Gen'}","[['case', 7]]",{'LId': 'z-1'}
125,5,5,bohatých,7.0,4.0,amod,bohatý,ADJ,AAIP2----1A----,"{'Animacy': 'Inan', 'Case': 'Gen', 'Degree': 'Pos', 'Gender': 'Masc', 'Number': 'Plur', 'Polarity': 'Pos'}","[['amod', 7]]",
126,5,6,bankovních,7.0,4.0,amod,bankovní,ADJ,AAIP2----1A----,"{'Animacy': 'Inan', 'Case': 'Gen', 'Degree': 'Pos', 'Gender': 'Masc', 'Number': 'Plur', 'Polarity': 'Pos'}","[['amod', 7]]",
127,5,7,účtů,3.0,30.0,obl,účet,NOUN,NNIP2-----A----,"{'Animacy': 'Inan', 'Case': 'Gen', 'Gender': 'Masc', 'Number': 'Plur', 'Polarity': 'Pos'}","[['obl:z:gen', 3]]",
128,5,8,Clintonové,7.0,26.0,nmod,Clintonová,PROPN,NNFS2-----A----,"{'Case': 'Gen', 'Gender': 'Fem', 'NameType': 'Sur', 'Number': 'Sing', 'Polarity': 'Pos'}","[['nmod:gen', 7]]",{'SpaceAfter': 'No'}
129,5,9,.,3.0,33.0,punct,.,PUNCT,Z:-------------,,"[['punct', 3]]",
130,6,1,Co,2.0,29.0,obj,co,PRON,PQ--4----------,"{'Animacy': 'Inan', 'Case': 'Acc', 'PronType': 'Int,Rel'}","[['ref', 7]]",{'LId': 'co-1'}
131,6,2,říká,7.0,1.0,acl:relcl,říkat,VERB,VB-S---3P-AA---,"{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Polarity': 'Pos', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['acl:relcl', 7]]",
